Data;D1;D2;D3;D4;D5;D6;Arrecadacao_Total;Sena;Rateio_Sena;Quina;Rateio_Quina;Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado
14/07/2001;5;16;20;25;30;58;0;0;0;192;11199.47;14673;146;SIM;19351758.16
21/07/2001;5;11;31;38;47;53;0;1;22414093.50;188;13574.18;12864;197.63;NÃƒO;0
28/07/2001;9;14;23;24;33;36;0;1;958878.82;76;10514.03;6064;131.27;NÃƒO;0
01/08/2001;25;28;34;42;48;54;0;1;367173.22;36;8499.38;2126;143.38;NÃƒO;0
04/08/2001;7;8;14;30;32;36;0;1;901884.48;75;10020.94;5358;139.74;NÃƒO;0
08/08/2001;12;32;37;41;50;56;0;0;0;17;20875.96;1173;301.41;SIM;425869.64
11/08/2001;29;35;37;44;47;56;0;0;0;59;13743.96;3739;216.06;SIM;1398941.94
15/08/2001;3;13;25;33;47;60;0;1;1931474.80;110;4034.34;5633;78.49;NÃƒO;0
18/08/2001;6;9;11;17;18;50;0;0;0;82;8749.64;4763;150.07;SIM;860964.72
22/08/2001;6;7;20;25;30;36;0;0;0;29;13819.12;2197;181.72;SIM;1341870.11
25/08/2001;7;25;26;30;40;57;0;0;0;56;20662.23;4869;236.75;SIM;10159688.47
29/08/2001;5;16;17;18;22;41;0;0;0;71;11244.78;4870;163.32;SIM;11117743.68
01/09/2001;13;23;24;34;45;53;0;0;0;116;11313.30;8670;150.8;SIM;12692554.40
05/09/2001;5;6;7;12;28;35;0;0;0;167;5817.88;10185;95.03;SIM;13858457.03
08/09/2001;22;25;28;41;45;57;0;2;7696680.33;130;9839.13;7434;171.41;NÃƒO;0
12/09/2001;7;12;24;31;44;50;0;0;0;36;10242.27;2055;178.75;SIM;442466.08
15/09/2001;3;20;42;46;51;52;0;0;0;29;26582.95;2348;327.09;SIM;1367552.68
19/09/2001;1;20;28;33;36;41;0;0;0;25;19353.56;1920;251.05;SIM;1948159.43
22/09/2001;5;22;23;24;34;60;0;1;2994572.21;50;17440.22;4372;198.71;NÃƒO;0
26/09/2001;2;5;7;33;49;53;0;0;0;33;10538.82;2049;169.09;SIM;417337.23
29/09/2001;24;27;28;38;41;57;0;0;0;48;22820.73;4820;226.4;SIM;8421199.74
03/10/2001;9;26;48;49;57;58;0;0;0;28;29571.34;2892;285.22;SIM;9414796.91
06/10/2001;12;25;30;40;41;60;0;0;0;101;13505.06;6361;213.63;SIM;11051609.38
10/10/2001;7;13;17;30;37;47;0;1;12257748.27;215;4674.95;12861;77.86;NÃƒO;0
13/10/2001;7;11;34;41;42;59;0;0;0;58;11050.10;3274;195.02;SIM;769087.04
17/10/2001;5;11;27;38;53;60;0;0;0;47;10013.62;3770;124.37;SIM;1333855.18
20/10/2001;19;30;41;47;56;57;0;0;0;28;29736.18;2294;361.58;SIM;2332990.80
24/10/2001;13;16;17;26;41;44;0;0;0;44;12632.80;3962;139.76;SIM;3000002.70
27/10/2001;4;11;25;29;39;55;0;1;4138172.99;62;15297.99;5173;182.67;NÃƒO;0
31/10/2001;4;11;25;39;50;55;0;1;442899.06;3001;122.53;2997;122.69;NÃƒO;0
03/11/2001;2;14;28;29;31;32;0;0;0;81;10544.47;5093;167.07;SIM;7512984.90
07/11/2001;22;24;30;32;38;41;0;0;0;31;25454.68;2871;273.81;SIM;8459898.95
10/11/2001;14;23;30;41;47;50;0;0;0;76;15889.75;4985;241.33;SIM;9909043.97
14/11/2001;14;16;24;37;38;53;0;0;0;61;15665.21;5547;171.62;SIM;11055737.35
17/11/2001;5;32;34;37;40;58;0;0;0;93;12287.32;5542;205.42;SIM;12427002.17
21/11/2001;12;21;22;28;43;50;0;1;13675105.67;43;24188.06;4598;225.35;NÃƒO;0
24/11/2001;6;24;28;43;51;56;0;0;0;104;6446.33;4093;163.18;SIM;804502.07
28/11/2001;16;20;27;30;35;48;0;0;0;23;18858.99;2088;206.96;SIM;1325010.22
01/12/2001;3;19;20;31;40;53;0;1;2227008.03;46;16340.54;3071;243.84;NÃƒO;0
05/12/2001;12;16;17;19;23;48;0;0;0;52;7242.06;3342;112.26;SIM;451904.22
08/12/2001;20;22;27;47;50;53;0;0;0;77;15489.00;4916;241.69;SIM;8460390.65
12/12/2001;4;11;31;32;48;49;0;0;0;55;16954.09;3729;249.11;SIM;9579360.38
15/12/2001;11;18;29;44;47;56;0;0;0;87;15453.45;7835;170.95;SIM;11192700.36
19/12/2001;26;31;33;40;49;54;0;0;0;56;19921.91;4244;261.89;SIM;12531452.28
22/12/2001;8;15;22;25;30;47;0;0;0;211;7938.40;12192;136.87;SIM;14541455.70
29/12/2001;1;3;4;21;23;53;0;2;8743877.80;256;9590.82;15646;156.33;NÃƒO;0
05/01/2002;21;23;40;44;51;52;0;0;0;27;32367.36;2674;325.58;SIM;1048702.44
09/01/2002;29;32;33;38;46;48;0;0;0;16;30517.93;2112;230.33;SIM;1634646.68
12/01/2002;5;7;14;21;23;51;0;1;2721357.01;100;9055.92;7121;126.69;NÃƒO;0
16/01/2002;10;11;12;24;35;40;0;0;0;40;10380.30;2904;142.44;SIM;9617027.24
19/01/2002;2;4;14;23;37;51;0;0;0;120;10924.51;7914;165.03;SIM;11190156.01
23/01/2002;1;13;20;27;35;37;0;0;0;70;13872.44;6408;150.97;SIM;12355441.42
26/01/2002;23;28;29;34;42;44;0;0;0;83;16762.69;6713;206.47;SIM;14025004.81
30/01/2002;4;27;35;44;52;53;0;0;0;93;12692.31;6221;189.02;SIM;15441466.12
02/02/2002;14;23;24;26;41;51;0;2;8729392.91;1200;1400.91;8839;189.47;NÃƒO;0
06/02/2002;7;23;33;43;57;59;0;0;0;24;17736.83;2134;198.73;SIM;510820.70
09/02/2002;2;18;22;26;30;54;0;0;0;68;11058.60;4141;180.91;SIM;1413202.70
16/02/2002;4;14;16;31;52;54;0;0;0;34;27110.52;3454;265.86;SIM;2519311.97
20/02/2002;1;4;9;36;46;48;0;0;0;43;14031.02;3245;185.23;SIM;3243312.50
23/02/2002;5;12;13;16;27;50;0;0;0;76;12374.85;6908;135.64;SIM;12514336.94
27/02/2002;9;10;12;33;42;60;0;0;0;121;9877.84;6970;170.83;SIM;13948598.35
02/03/2002;5;16;22;23;43;56;0;0;0;166;9623.14;11103;143.34;SIM;15865526.88
06/03/2002;16;29;34;49;51;54;0;0;0;93;15067.81;5578;250.27;SIM;17547094.93
09/03/2002;4;6;7;12;24;41;0;2;9937283.03;246;7884.39;17023;113.51;NÃƒO;0
13/03/2002;10;12;14;33;35;36;0;0;0;46;9494.33;3487;124.78;SIM;524086.97
16/03/2002;11;22;46;51;56;58;0;1;1447870.53;27;28511.84;2170;353.42;NÃƒO;0
20/03/2002;7;12;41;46;56;60;0;0;0;20;19632.30;1589;246.17;SIM;471175.04
23/03/2002;1;10;12;26;48;52;0;0;0;72;9988.89;4730;151.48;SIM;1334215.32
27/03/2002;19;30;33;39;40;52;0;0;0;19;26763.06;1547;327.46;SIM;1944413.01
30/03/2002;8;9;28;32;38;54;0;0;0;46;14053.06;3264;197.31;SIM;10405636.15
03/04/2002;10;15;23;30;43;57;0;0;0;80;11801.82;5012;187.66;SIM;11538610.20
06/04/2002;15;16;24;41;59;60;0;0;0;98;14478.34;5832;242.37;SIM;13241262.56
10/04/2002;7;20;25;44;47;49;0;0;0;161;7848.74;8080;155.8;SIM;14757638.49
13/04/2002;19;23;30;46;55;60;0;0;0;89;19537.11;6862;252.44;SIM;16844201.81
17/04/2002;7;16;38;40;41;52;0;1;18680098.10;93;16450.68;6184;246.46;NÃƒO;0
20/04/2002;2;14;22;23;37;60;0;0;0;50;14412.47;4711;152.39;SIM;864747.94
24/04/2002;5;19;21;54;56;58;0;0;0;32;15777.72;2415;208.28;SIM;1470612.40
27/04/2002;2;30;32;35;45;53;0;0;0;34;23899.52;3265;247.94;SIM;2445712.66
04/05/2002;12;17;21;32;40;42;0;0;0;84;12903.06;5798;186.23;SIM;3746340.86
08/05/2002;13;19;20;29;31;54;0;0;0;56;13050.25;3953;184.17;SIM;13221837.92
11/05/2002;23;24;29;47;53;55;0;0;0;133;10645.79;8382;168.28;SIM;14920906.83
15/05/2002;16;28;31;41;45;59;0;0;0;98;12456.14;5236;232.26;SIM;16385748.75
18/05/2002;7;20;33;37;46;56;0;1;18399160.53;110;15253.12;8313;201.08;NÃƒO;0
22/05/2002;19;29;39;47;49;54;0;0;0;27;14921.89;2225;180.39;SIM;483469.12
25/05/2002;5;29;44;51;57;59;0;1;1307293.04;76;9033.16;3315;206.32;NÃƒO;0
29/05/2002;19;23;34;37;52;58;0;1;462752.26;45;8569.49;2433;157.9;NÃƒO;0
01/06/2002;4;6;7;15;21;51;0;0;0;41;12721.16;3489;148.93;SIM;625880.91
05/06/2002;10;12;27;33;49;52;0;1;1150498.02;71;6157.48;3040;143.27;NÃƒO;0
08/06/2002;13;29;32;38;44;50;0;0;0;53;10725.28;3220;175.87;SIM;682127.44
12/06/2002;1;14;21;35;42;60;0;1;1221738.07;46;9775.55;4167;107.51;NÃƒO;0
15/06/2002;1;4;40;42;51;54;0;0;0;40;23283.30;3230;287.25;SIM;7330667.64
19/06/2002;4;18;23;33;39;60;0;0;0;47;16675.12;3979;196.23;SIM;8271144.70
22/06/2002;16;17;24;39;46;57;0;2;4792658.35;85;12884.04;6743;161.8;NÃƒO;0
26/06/2002;1;5;10;24;31;33;0;0;0;52;6480.14;3292;101.98;SIM;404360.65
29/06/2002;2;5;16;26;44;54;0;0;0;80;8073.17;3326;193.45;SIM;1179384.47
03/07/2002;1;5;9;42;51;58;0;0;0;33;14359.09;2359;200.11;SIM;1748004.50
06/07/2002;10;13;25;35;43;48;0;0;0;110;7257.00;6956;114.33;SIM;2705928.72
10/07/2002;3;12;19;27;45;46;0;0;0;87;6639.02;5468;105.23;SIM;3399042.30
13/07/2002;5;38;41;45;48;55;0;0;0;36;25450.60;3115;293.02;SIM;4498508.08
17/07/2002;24;33;40;41;55;59;0;0;0;32;23407.93;2830;263.68;SIM;11243785.66
20/07/2002;13;22;30;31;47;57;0;0;0;206;6628.67;7186;189.31;SIM;12882392.95
24/07/2002;9;10;28;46;55;56;0;0;0;85;14181.19;7295;164.62;SIM;14328873.76
27/07/2002;31;34;37;38;53;54;0;0;0;68;23756.27;6291;255.82;SIM;16267384.96
31/07/2002;14;22;48;50;53;56;0;0;0;73;23753.43;6573;262.81;SIM;18348185.45
03/08/2002;24;28;40;47;50;52;0;0;0;151;18351.99;10644;259.37;SIM;21673565.65
07/08/2002;5;12;16;18;22;24;0;2;12952192.89;759;4645.17;37449;93.8;NÃƒO;0
10/08/2002;17;35;36;39;43;54;0;0;0;70;11571.98;5236;154.12;SIM;972045.86
14/08/2002;22;28;29;43;47;48;0;0;0;40;14937.65;2998;198.55;SIM;1689053.37
17/08/2002;23;36;48;52;53;58;0;0;0;46;18826.46;4293;200.97;SIM;2728273.75
21/08/2002;5;14;18;43;46;54;0;0;0;63;11305.19;4169;170.2;SIM;15745310.46
24/08/2002;7;12;22;34;38;53;0;1;17611429.97;171;9094.15;10722;144.49;NÃƒO;0
28/08/2002;4;7;15;16;35;40;0;0;0;44;10170.35;2740;162.7;SIM;536994.30
31/08/2002;15;23;31;39;47;49;0;1;1410917.29;68;10709.84;3591;202.03;NÃƒO;0
04/09/2002;6;12;35;36;40;50;0;0;0;31;13716.51;1949;217.35;SIM;510254.22
07/09/2002;5;15;35;42;45;49;0;0;0;47;11817.80;4815;114.93;SIM;1176778.31
11/09/2002;10;11;14;20;31;58;0;1;1843709.96;27;20584.31;2328;237.84;NÃƒO;0
14/09/2002;6;18;34;42;45;47;0;0;0;63;10148.72;4201;151.63;SIM;767243.59
18/09/2002;1;2;5;24;32;46;0;0;0;61;7992.42;4026;120.64;SIM;1352288.49
21/09/2002;7;16;22;28;36;37;0;1;2221289.77;63;11494.73;5106;141.29;NÃƒO;0
25/09/2002;11;16;27;47;55;59;0;0;0;20;19537.00;1730;225.01;SIM;5676171.41
28/09/2002;10;13;28;29;54;59;0;0;0;75;13254.18;4875;203.14;SIM;6869047.91
02/10/2002;11;18;43;44;50;53;0;0;0;33;25008.64;2853;288.18;SIM;7859389.89
05/10/2002;5;16;27;43;56;58;0;0;0;146;7927.99;7787;148.08;SIM;9248373.54
09/10/2002;7;16;27;31;46;60;0;0;0;48;19972.95;4099;233.01;SIM;10398815.28
12/10/2002;1;24;28;38;40;58;0;0;0;66;16580.07;4364;249.8;SIM;11711956.93
16/10/2002;24;29;34;47;57;60;0;0;0;67;16988.17;4579;247.63;SIM;13077805.76
19/10/2002;2;12;32;38;47;48;0;0;0;78;19463.48;6557;230.66;SIM;14899587.92
23/10/2002;2;18;22;49;51;57;0;0;0;90;16315.38;6383;229.18;SIM;16661649.27
26/10/2002;14;28;33;44;49;56;0;1;18948827.67;269;7085.43;13970;135.92;NÃƒO;0
30/10/2002;18;25;26;31;34;49;0;0;0;23;18741.96;1958;219.32;SIM;9710567.61
02/11/2002;8;24;31;36;38;55;0;0;0;101;10257.12;5799;177.97;SIM;10953730.37
06/11/2002;10;12;31;38;45;56;0;0;0;91;11814.39;5115;209.4;SIM;12243861.06
09/11/2002;5;12;14;21;45;59;0;0;0;89;16616.72;8542;172.49;SIM;14018527.28
13/11/2002;2;4;29;33;35;53;0;0;0;102;13376.53;7746;175.49;SIM;15655814.53
16/11/2002;16;26;35;45;52;58;0;1;17428452.98;51;28964.68;5527;266.26;NÃƒO;0
20/11/2002;1;4;27;38;42;44;0;0;0;40;11027.47;2415;181.96;SIM;529318.35
23/11/2002;1;13;23;33;54;56;0;0;0;44;16547.76;4032;179.9;SIM;1403039.91
27/11/2002;7;12;21;25;34;42;0;0;0;78;7435.78;5218;110.73;SIM;2099028.66
30/11/2002;8;15;32;45;49;52;0;2;1558712.24;82;10349.55;5133;164.72;NÃƒO;0
04/12/2002;9;16;41;42;52;53;0;0;0;30;14860.22;1594;278.62;SIM;8115153.05
07/12/2002;12;29;30;43;57;59;0;0;0;83;13949.86;5614;205.47;SIM;9504559.06
11/12/2002;5;35;37;38;45;51;0;0;0;47;21307.17;4716;211.55;SIM;10706283.47
14/12/2002;12;37;43;55;56;60;0;0;0;80;16823.65;6516;205.77;SIM;12321354.11
18/12/2002;8;22;32;33;40;53;0;0;0;66;17925.27;4178;282.1;SIM;13741035.48
21/12/2002;18;27;29;36;46;59;0;0;0;91;17356.78;7389;212.95;SIM;15636395.41
28/12/2002;6;10;16;34;42;47;0;1;18979599.19;279;9985.67;17411;159.42;NÃƒO;0
04/01/2003;7;30;32;37;50;54;0;0;0;58;13241.94;3139;243.76;SIM;921638.77
08/01/2003;3;13;14;24;43;51;0;0;0;48;11642.10;3563;156.25;SIM;1592223.84
11/01/2003;8;28;30;32;46;60;0;0;0;48;16919.00;3734;216.67;SIM;2566758.37
15/01/2003;17;26;32;36;43;55;0;0;0;44;14978.72;3300;198.96;SIM;12839021.93
18/01/2003;8;10;21;25;38;50;0;1;14410708.81;85;15408.70;6944;187.9;NÃƒO;0
22/01/2003;26;37;40;47;52;58;0;0;0;20;21069.89;1184;354.56;SIM;505677.41
25/01/2003;4;13;17;27;39;50;0;0;0;54;12185.97;4278;153.24;SIM;1295327.95
29/01/2003;16;17;28;30;36;54;0;0;0;31;16580.20;2332;219.58;SIM;1912111.54
01/02/2003;4;10;17;24;30;54;0;0;0;84;9173.28;4870;157.63;SIM;2836778.00
05/02/2003;10;11;17;31;37;43;0;0;0;55;11059.32;3243;186.85;SIM;3566693.13
08/02/2003;1;6;7;29;48;57;0;0;0;47;19531.31;4696;194.74;SIM;4668258.69
12/02/2003;7;10;30;44;54;59;0;0;0;33;22273.90;2829;258.84;SIM;5550305.04
15/02/2003;3;5;11;14;38;48;0;0;0;65;16281.73;6276;167.99;SIM;6820280.27
19/02/2003;13;20;29;42;43;57;0;0;0;65;13353.84;4407;196.22;SIM;14150924.79
22/02/2003;3;5;23;30;46;47;0;0;0;139;10909.13;10120;149.28;SIM;15970566.86
26/02/2003;2;10;15;21;58;59;0;0;0;121;11917.74;6941;206.98;SIM;17701023.29
01/03/2003;6;15;23;31;37;59;0;1;19946601.01;135;13861.59;9944;187.48;NÃƒO;0
08/03/2003;11;17;26;36;48;52;0;0;0;47;16322.42;3738;204.46;SIM;920584.21
12/03/2003;3;24;33;48;52;57;0;0;0;43;13890.62;3332;178.58;SIM;1637340.11
15/03/2003;7;20;31;32;50;53;0;0;0;31;28559.37;3101;284.42;SIM;2699748.84
19/03/2003;8;11;12;17;20;47;0;2;1767117.91;65;10698.55;5039;137.48;NÃƒO;0
22/03/2003;15;24;25;33;42;55;0;0;0;55;12010.32;5613;117.25;SIM;792681.47
26/03/2003;3;5;9;45;51;52;0;0;0;40;13356.99;2999;177.48;SIM;1433817.03
29/03/2003;1;8;24;34;49;56;0;0;0;55;14643.05;3656;219.46;SIM;10220372.33
02/04/2003;1;9;13;50;51;59;0;0;0;108;10575.60;6194;183.7;SIM;11590970.46
05/04/2003;17;18;23;28;31;53;0;0;0;87;17131.80;7368;201.53;SIM;13379529.89
09/04/2003;11;16;30;36;51;54;0;0;0;76;18847.21;6317;225.9;SIM;15098395.42
12/04/2003;8;20;23;34;52;58;0;0;0;120;15932.45;7882;241.65;SIM;17392667.68
16/04/2003;4;17;24;42;46;56;0;0;0;275;7515.39;16564;124.3;SIM;19872744.64
19/04/2003;2;14;15;17;50;59;0;0;0;86;23171.64;7989;248.5;SIM;22264057.74
23/04/2003;3;17;22;27;33;40;0;0;0;221;11142.66;16964;144.61;SIM;25219091.20
26/04/2003;15;17;24;27;32;48;0;3;10000441.74;480;8302.49;31340;126.68;NÃƒO;0
30/04/2003;13;24;32;34;43;53;0;0;0;82;7395.34;3921;154.08;SIM;727701.47
03/05/2003;8;15;17;39;43;49;0;0;0;62;12146.48;4197;178.76;SIM;15906301.09
07/05/2003;19;23;30;37;49;55;0;0;0;155;9688.96;9464;158.09;SIM;17708446.64
10/05/2003;15;17;20;29;30;60;0;0;0;189;10317.48;8312;233.71;SIM;20048450.45
14/05/2003;17;19;22;26;27;48;0;0;0;212;9023.34;14463;131.76;SIM;22343987.57
17/05/2003;2;3;7;18;45;53;0;0;0;166;14740.96;15269;159.66;SIM;25280386.38
21/05/2003;6;24;33;38;45;50;0;1;28414544.43;241;10837.34;15457;168.33;NÃƒO;0
24/05/2003;1;22;31;46;51;57;0;0;0;19;40627.81;2175;353.57;SIM;926313.93
28/05/2003;11;16;28;29;30;45;0;0;0;64;10353.72;3582;184.29;SIM;1721479.17
31/05/2003;8;18;21;22;38;60;0;0;0;45;20730.13;3907;237.87;SIM;2840905.83
04/06/2003;5;6;23;25;39;51;0;0;0;58;14292.56;4701;175.67;SIM;3835668.21
07/06/2003;13;21;26;29;42;47;0;2;2596432.92;187;6048.12;8798;128.07;NÃƒO;0
11/06/2003;8;11;23;37;51;58;0;0;0;86;13384.59;6094;188.18;SIM;13182029.14
14/06/2003;5;31;32;36;51;59;0;0;0;76;19668.02;5490;271.24;SIM;14975752.83
18/06/2003;3;4;12;29;38;51;0;0;0;82;17224.58;6518;215.88;SIM;16670651.02
21/06/2003;7;23;41;49;51;58;0;0;0;65;23285.11;6524;231.12;SIM;18486889.08
25/06/2003;3;12;32;34;40;50;0;0;0;56;34156.59;6910;275.76;SIM;20782211.64
28/06/2003;6;8;19;22;43;52;0;0;0;156;15008.18;13235;176.23;SIM;23591742.20
02/07/2003;17;20;38;43;55;58;0;0;0;163;16837.81;11465;238.49;SIM;26885217.69
05/07/2003;6;8;18;34;38;47;0;3;10401481.92;279;12900.92;21958;163.3;NÃƒO;0
09/07/2003;3;8;21;25;30;31;0;0;0;92;7045.32;4876;132.43;SIM;777803.22
12/07/2003;20;26;41;46;54;58;0;0;0;32;29012.34;2834;326.35;SIM;16088932.65
16/07/2003;14;33;36;38;41;49;0;0;0;112;13831.54;8589;179.69;SIM;17947892.21
19/07/2003;6;13;22;24;42;44;0;3;6796888.03;359;5670.32;19465;104.19;NÃƒO;0
23/07/2003;12;13;33;53;54;56;0;0;0;41;14878.29;2929;207.48;SIM;732011.95
26/07/2003;16;18;23;35;44;59;0;0;0;90;9761.25;6279;139.38;SIM;1786227.43
30/07/2003;17;18;19;38;49;53;0;0;0;55;13655.17;4015;186.35;SIM;2687468.43
02/08/2003;19;28;30;38;52;57;0;0;0;30;35888.42;3203;334.87;SIM;3979451.73
06/08/2003;8;14;19;30;42;50;0;1;5125800.12;55;17368.92;4325;220.05;NÃƒO;0
09/08/2003;8;22;25;48;52;54;0;2;467702.34;104;7495.23;5329;145.73;NÃƒO;0
13/08/2003;15;30;35;39;43;57;0;0;0;46;11864.07;2699;201.45;SIM;654896.68
16/08/2003;17;28;33;36;53;59;0;0;0;67;12406.82;5107;162.16;SIM;9662631.84
20/08/2003;5;11;23;29;54;58;0;1;11070173.50;148;7925.35;8438;138.49;NÃƒO;0
23/08/2003;1;9;15;22;43;55;0;1;849344.26;81;8738.11;4221;167.05;NÃƒO;0
27/08/2003;2;6;15;18;56;57;0;0;0;26;19041.52;2629;187.61;SIM;594095.53
30/08/2003;3;18;20;24;42;54;0;0;0;79;9663.99;5294;143.67;SIM;1510241.51
03/09/2003;18;20;28;32;49;53;0;0;0;32;21997.60;2766;253.53;SIM;2354949.51
06/09/2003;8;15;29;36;49;60;0;0;0;48;20565.02;5313;185.09;SIM;3539495.03
10/09/2003;10;19;20;29;41;59;0;0;0;31;27720.31;3495;244.94;SIM;4570690.49
13/09/2003;9;13;20;32;41;58;0;0;0;72;15712.44;5439;207.21;SIM;5928244.66
17/09/2003;2;6;28;49;50;57;0;0;0;58;17603.00;4592;221.5;SIM;7153413.01
20/09/2003;1;4;5;11;44;59;0;1;8698099.22;126;10216.18;8903;144.04;NÃƒO;0
27/09/2003;21;29;35;36;38;54;0;1;9394248.83;73;23869.01;6818;254.6;NÃƒO;0
01/10/2003;16;27;28;34;39;56;0;0;0;43;11303.51;3037;159.45;SIM;583261.35
04/10/2003;7;13;21;24;33;50;0;2;730915.33;268;2731.87;9549;76.39;NÃƒO;0
08/10/2003;7;10;21;27;48;49;0;0;0;40;11636.06;2934;158.04;SIM;558530.93
11/10/2003;8;11;19;30;39;50;0;0;0;54;12855.55;4006;172.64;SIM;1391570.39
15/10/2003;3;20;28;46;47;52;0;0;0;30;19736.18;2559;230.51;SIM;2102072.80
18/10/2003;4;15;31;34;37;38;0;0;0;65;12720.38;4735;173.96;SIM;3094262.01
22/10/2003;3;5;27;33;44;58;0;2;1963484.53;212;3273.22;6604;104.68;NÃƒO;0
25/10/2003;5;10;15;45;46;56;0;0;0;33;18038.77;3025;196.05;SIM;714335.26
29/10/2003;28;32;33;34;35;55;0;0;0;39;13104.28;2852;178.52;SIM;7199176.21
01/11/2003;1;4;30;41;45;58;0;2;4252983.06;70;15557.02;4392;247.01;NÃƒO;0
05/11/2003;3;4;8;34;36;37;0;0;0;50;8700.75;3155;137.37;SIM;761315.61
08/11/2003;4;8;31;40;53;58;0;3;653828.50;41;16727.11;2277;300.05;NÃƒO;0
12/11/2003;10;19;27;33;39;46;0;0;0;46;8485.71;2427;160.23;SIM;683099.65
15/11/2003;15;36;40;42;51;52;0;0;0;20;24964.72;1209;411.42;SIM;4941165.35
19/11/2003;15;16;39;45;48;57;0;0;0;33;20464.65;2636;255.23;SIM;6122998.73
22/11/2003;5;13;24;33;34;35;0;0;0;164;5416.02;7718;114.65;SIM;7677394.38
26/11/2003;7;8;28;32;38;51;0;0;0;36;22385.92;3262;246.13;SIM;9087707.16
29/11/2003;5;8;10;15;18;44;0;0;0;182;6014.85;8653;126.04;SIM;11003437.88
03/12/2003;9;15;19;22;36;42;0;0;0;111;9685.31;7018;152.61;SIM;18558840.36
06/12/2003;9;12;17;32;34;35;0;0;0;166;10017.32;10884;152.2;SIM;21468871.74
10/12/2003;15;25;28;32;38;45;0;0;0;166;10463.37;10610;163.09;SIM;24508480.18
13/12/2003;6;14;15;25;49;52;0;0;0;118;19311.39;8280;274.17;SIM;28496281.66
17/12/2003;28;39;40;44;45;58;0;0;0;123;27528.74;9692;348.05;SIM;34421843.43
20/12/2003;19;29;34;41;47;48;0;1;42794697.56;180;26580.49;17156;277.83;NÃƒO;0
27/12/2003;8;10;24;26;32;49;0;2;10208722.99;153;11600.82;9640;183.43;NÃƒO;0
03/01/2004;3;21;31;36;55;59;0;0;0;34;22681.04;2444;314.34;SIM;1349521.77
07/01/2004;6;14;17;26;50;52;0;0;0;23;27463.44;2091;300.94;SIM;2454925.13
10/01/2004;8;12;28;31;34;37;0;0;0;67;12554.60;4827;173.6;SIM;3926952.17
14/01/2004;1;13;33;38;45;56;0;15;348732.75;87;8565.12;4758;156.03;NÃƒO;0
17/01/2004;1;6;21;25;32;49;0;0;0;49;18501.75;3771;239.5;SIM;7541604.05
21/01/2004;1;3;7;18;35;50;0;0;0;96;9079.10;5188;167.37;SIM;9066892.84
24/01/2004;4;9;12;13;52;53;0;0;0;69;16628.16;5314;215.09;SIM;11074743.03
28/01/2004;13;18;21;27;53;59;0;0;0;82;12747.27;5129;203.03;SIM;12903975.95
31/01/2004;3;8;23;31;48;57;0;1;15184658.12;107;12179.88;6559;197.95;NÃƒO;0
04/02/2004;6;14;28;47;49;56;0;1;7834139.14;59;12025.02;4136;170.89;NÃƒO;0
07/02/2004;14;15;22;23;25;37;0;0;0;49;12551.38;3217;190.46;SIM;1076280.35
11/02/2004;3;7;19;34;37;39;0;1;2054340.05;128;4366.34;5345;104.17;NÃƒO;0
14/02/2004;3;25;43;45;52;56;0;0;0;36;16533.54;2657;223.17;SIM;1041612.80
18/02/2004;6;16;19;47;50;55;0;0;0;21;25214.62;1908;276.47;SIM;5728373.54
21/02/2004;4;22;28;30;44;49;0;0;0;84;10186.19;4535;187.97;SIM;7225743.35
28/02/2004;13;27;49;52;57;58;0;1;9144543.50;54;20304.76;4879;223.88;NÃƒO;0
03/03/2004;4;6;19;28;35;49;0;0;0;42;9683.43;2800;144.7;SIM;711731.71
06/03/2004;35;37;42;46;49;54;0;1;1836749.58;78;8241.89;2557;250.47;NÃƒO;0
10/03/2004;11;17;33;34;47;56;0;0;0;39;10062.10;2415;161.89;SIM;4929350.89
13/03/2004;17;29;35;40;43;57;0;1;6409645.53;102;8292.97;4315;195.29;NÃƒO;0
17/03/2004;4;5;13;17;46;54;0;0;0;32;12224.97;3003;129.78;SIM;684598.29
20/03/2004;4;13;28;30;53;59;0;1;1746857.35;42;14452.51;2599;232.67;NÃƒO;0
24/03/2004;14;47;49;51;58;59;0;0;0;9;41634.70;965;386.83;SIM;655746.39
27/03/2004;8;13;22;46;51;58;0;0;0;34;17519.41;2772;214.07;SIM;5216225.00
31/03/2004;16;17;38;39;45;56;0;0;0;39;18277.00;2948;240.88;SIM;6463630.53
03/04/2004;12;21;46;48;56;57;0;0;0;35;28192.58;3027;324.75;SIM;8190426.28
07/04/2004;9;22;47;49;52;54;0;0;0;69;14110.09;4299;225.61;SIM;9894220.21
10/04/2004;4;43;46;53;54;58;0;0;0;42;23814.78;3308;301.22;SIM;11644606.76
14/04/2004;15;29;31;42;47;60;0;0;0;64;20951.21;4812;277.6;SIM;20258939.21
17/04/2004;5;23;31;33;45;49;0;1;23810057.19;152;13350.07;10733;188.35;NÃƒO;0
21/04/2004;8;10;17;30;33;45;0;0;0;20;14872.57;1699;174.41;SIM;520539.87
24/04/2004;8;12;18;23;38;49;0;0;0;59;11001.41;3777;171.2;SIM;1656435.01
28/04/2004;7;14;31;57;58;59;0;0;0;21;26571.46;2000;277.94;SIM;2632936.06
01/05/2004;6;13;17;25;36;53;0;1;3707152.54;75;8184.51;4460;137.11;NÃƒO;0
05/05/2004;2;11;18;30;32;58;0;0;0;44;16215.47;2585;274.97;SIM;6433069.85
